epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.3315555453300476,0.38014742732048035,7.443296306408294,0.19614777714014053
2,0.321897242218256,0.36175209283828735,7.794577072293799,0.23780778795480728
3,0.3170651085674763,0.34656378626823425,8.099860476259146,0.27319464087486267
4,0.32601409777998924,0.33118709921836853,8.431175794178959,0.3108309209346771
5,0.2959166020154953,0.32147417962551117,8.626340935042936,0.3208867609500885
6,0.30287009477615356,0.31972479820251465,8.647476299534688,0.32134246826171875
7,0.3028022311627865,0.3178640305995941,8.673808871582063,0.32471713423728943
8,0.28968531638383865,0.3182217627763748,8.667934592671852,0.3239341825246811
9,0.28400070033967495,0.3141406923532486,8.752812945552625,0.3276456445455551
10,0.2760297656059265,0.3064751923084259,8.920348328671265,0.33795028924942017
11,0.27592312172055244,0.2978909909725189,9.110322791261616,0.3508787751197815
12,0.2604609914124012,0.2887483537197113,9.32563524812008,0.36719830334186554
13,0.2736782878637314,0.2853555530309677,9.398941186098579,0.3734181523323059
14,0.25825269147753716,0.2792884111404419,9.544654274957015,0.3841365575790405
15,0.2464998308569193,0.2705417722463608,9.773824933529895,0.4020737558603287
16,0.2401955034583807,0.2646162286400795,9.924592288857568,0.412677600979805
17,0.24723174795508385,0.2589043006300926,10.069240089940767,0.4259190857410431
18,0.2373933531343937,0.25367116928100586,10.215692913947915,0.4377061724662781
19,0.23271473497152328,0.25105127692222595,10.283471489181647,0.4453461766242981
20,0.22626706399023533,0.24473316967487335,10.467270413677856,0.46119242906570435
21,0.21971703134477139,0.23970448970794678,10.633740350472959,0.47447143495082855
22,0.22041097097098827,0.23403412103652954,10.804696198953438,0.487036794424057
23,0.2242760080844164,0.23191262036561966,10.863933221956664,0.4933152496814728
24,0.20420730113983154,0.22582127153873444,11.068079305533669,0.5117366462945938
25,0.20372729189693928,0.22087177634239197,11.248602731201013,0.5242198705673218
26,0.20379990339279175,0.2110370621085167,11.563492428240266,0.5345535576343536
27,0.20880474895238876,0.21224889904260635,11.581830380643236,0.5498087704181671
28,0.1879561897367239,0.2041761875152588,11.91074534477681,0.5750622451305389
29,0.18969279155135155,0.19671081006526947,12.192317910987992,0.5851137638092041
30,0.18594311736524105,0.19580621272325516,12.249002067334342,0.5884542465209961
31,0.18195553310215473,0.19601746648550034,12.267181921696661,0.5972344875335693
32,0.17636485770344734,0.19000276178121567,12.52020857241293,0.6069181859493256
33,0.1725593339651823,0.18752174079418182,12.634472479879541,0.6115672886371613
34,0.1771136075258255,0.18567826598882675,12.7165632628113,0.6176345646381378
35,0.15623444505035877,0.17972026020288467,12.979788292194174,0.6289775967597961
36,0.16260208934545517,0.17165770381689072,13.364493497215268,0.6395093500614166
37,0.1687882114201784,0.17266637831926346,13.341316715431216,0.6483728587627411
38,0.1587900947779417,0.17053087055683136,13.461108762396071,0.6506860852241516
